t,mission_phase,throttle,altitude_ft,ambient_temp,rpm,cht,egt,oil_pressure,oil_temp,fuel_flow,vibration,battery_voltage,alternator_health,injection_timing,scenario,fault_start
0,TAKEOFF,0.85,150,22.225,4283.5287757545975,173.6566391765445,659.1485472079288,57.444099216916,87.62698159461502,21.142600609597388,0.14231876736281154,24.162460179948468,0.9603414959997475,18.06928830930231,Overheating / Thermal Degradation,104
1,TAKEOFF,0.85,240,22.36,4253.54034966271,176.20255749418092,664.1945447791815,57.04831913884414,89.49702828602396,20.768583875477347,0.13955376647277537,24.108344804777467,0.9644423667106273,18.005586896799343,Overheating / Thermal Degradation,104
2,TAKEOFF,0.85,330,22.495,4292.524926307742,179.34671452310505,669.9651682221927,56.70082476310638,84.41764323194212,20.55427546920819,0.14364066116208307,24.150246680584655,0.957437258280099,18.091422572885097,Overheating / Thermal Degradation,104
3,TAKEOFF,0.85,420,22.63,4296.302423760606,178.28866544874066,651.6626752621943,58.93475893929404,85.62754196514501,21.091601048520957,0.14104591538575972,24.075670540560203,0.9687548219294368,18.141060789181054,Overheating / Thermal Degradation,104
4,TAKEOFF,0.85,510,22.765,4232.282225849615,178.21829280694553,660.2871687271238,56.03863032111687,86.5219203371571,20.86076475346156,0.14138527007928553,24.099526469746905,0.9624238893597813,18.02309053413218,Overheating / Thermal Degradation,104
5,TAKEOFF,0.85,600,22.9,4246.152050849029,178.6192823601358,674.9680999289308,59.503387621681306,90.1317683000805,21.254514597198597,0.13775416786021333,24.095570067242065,0.9641601615859341,18.1358462746097,Overheating / Thermal Degradation,104
6,TAKEOFF,0.85,690,23.035,4277.207488869681,179.77173707373584,655.1654559406869,56.50943911600347,88.39763047437896,20.787432053027665,0.13082573238140804,24.05233657310925,0.9723031191675267,17.71868425274536,Overheating / Thermal Degradation,104
7,TAKEOFF,0.85,780,23.17,4267.032662968441,176.51559908255928,654.6802498443872,55.1198786215387,89.15847586069185,20.30103583889782,0.12980712358234542,24.142224892074903,0.9690657604023576,18.190854275749924,Overheating / Thermal Degradation,104
8,TAKEOFF,0.85,870,23.305,4273.215374534906,181.45592899451734,664.1240057264808,56.84839545529327,86.33100862131066,20.257044280264015,0.1451852141829686,24.1415149403347,0.9617737375148517,18.04500745822708,Overheating / Thermal Degradation,104
9,TAKEOFF,0.85,960,23.44,4254.413033593381,181.46946471707935,670.1254667143678,55.3358812395856,86.39569618709422,21.320024776280935,0.13867559936940002,24.138113281694334,0.9606271192605186,18.12934120268942,Overheating / Thermal Degradation,104
10,TAKEOFF,0.85,1050,23.575,4292.121755446982,180.8293562254371,662.8515845000459,55.73521739784245,88.78047057508407,21.35178300227415,0.13643987770240684,24.19471793923506,0.9616978199539219,17.85361491061902,Overheating / Thermal Degradation,104
11,TAKEOFF,0.85,1140,23.71,4289.481422579437,181.44679363970351,674.9321453139329,57.206143290020144,88.22991149640316,20.691968275351087,0.14067203938706208,24.189460688074178,0.9650395929939061,17.90030761420736,Overheating / Thermal Degradation,104
12,TAKEOFF,0.85,1230,23.845,4273.417675346347,180.85572040226424,670.9053958430987,57.38975671524516,88.9993582282962,20.6269844376024,0.1461770257704094,24.08000331860905,0.9625791034629965,18.017512595297372,Overheating / Thermal Degradation,104
13,TAKEOFF,0.85,1320,23.98,4296.359306553297,185.86120524764698,670.9933806020106,55.83618198966947,87.92849351360734,21.27890550228477,0.1418750476011848,24.12488313910605,0.9614190234199861,17.997955453279506,Overheating / Thermal Degradation,104
14,TAKEOFF,0.85,1410,24.115000000000002,4281.440205529545,180.05638632105294,668.6267985119168,57.90612668856032,88.66096558968195,20.386234011284778,0.13602011544351322,24.065083958644507,0.9688687250028362,18.0339682305612,Overheating / Thermal Degradation,104
15,TAKEOFF,0.85,1500,24.25,4251.8455658165685,179.5776669886632,684.8113779031148,58.10476008542747,88.51467862735767,20.46684554336546,0.14919655068954266,24.103901318966873,0.9625431604328886,18.130141819311596,Overheating / Thermal Degradation,104
16,TAKEOFF,0.85,1590,24.385,4278.457517249815,178.46487277499935,662.2387948002056,58.44469228353228,89.47790108362739,21.011464378141163,0.15166679852087142,24.066515033052866,0.9721983563721492,17.788173562163657,Overheating / Thermal Degradation,104
17,TAKEOFF,0.85,1680,24.52,4248.844582781761,177.82166452238204,646.2762993714014,57.24323742926344,89.5555124229167,20.65448820699914,0.14407439658725998,24.199704218548163,0.9633629702550086,18.11685828860608,Overheating / Thermal Degradation,104
18,TAKEOFF,0.85,1770,24.655,4288.86090662876,177.364728994717,678.9690392536543,58.304957325711406,85.94894200841235,20.79710734664797,0.14742814457940864,24.124321889020578,0.9701412735768988,18.00099382919495,Overheating / Thermal Degradation,104
19,TAKEOFF,0.85,1860,24.79,4268.031629958303,178.49786752295344,660.6342051213885,54.06496204363372,85.04159716698872,20.747994985516417,0.1493062199776967,24.089418252313735,0.9644292776908425,17.975546176665055,Overheating / Thermal Degradation,104
20,TAKEOFF,0.85,1950,24.925,4264.658028002004,180.92584493137417,665.9471739990872,56.074221486783,89.94886809647727,20.929651092079627,0.1485231952148316,24.174117114311382,0.9668518422929978,17.823466171873815,Overheating / Thermal Degradation,104
